pokemon_number,pokemon_name,attack,classfication,defense,height_m,hp,speed,type1,type2,weight_kg,generation,is_legendary,abilities
206,Dunsparce,70,Land Snake Pokémon,70,1.5,100,45,normal,,14.0,2,0,"['Serene Grace', 'Run Away', 'Rattled']"
207,Gligar,75,Flyscorpion Pokémon,105,1.1,65,85,ground,flying,64.8,2,0,"['Hyper Cutter', 'Sand Veil', 'Immunity']"
208,Steelix,125,Iron Snake Pokémon,230,9.2,75,30,steel,ground,400.0,2,0,"['Rock Head', 'Sturdy', 'Sheer Force']"
209,Snubbull,80,Fairy Pokémon,50,0.6,60,30,fairy,,7.8,2,0,"['Intimidate', 'Run Away', 'Rattled']"
210,Granbull,120,Fairy Pokémon,75,1.4,90,45,fairy,,48.7,2,0,"['Intimidate', 'Quick Feet', 'Rattled']"
211,Qwilfish,95,Balloon Pokémon,85,0.5,65,85,water,poison,3.9,2,0,"['Poison Point', 'Swift Swim', 'Intimidate']"
212,Scizor,150,Pincer Pokémon,140,1.8,70,75,bug,steel,118.0,2,0,"['Swarm', 'Technician', 'Light Metal']"
213,Shuckle,10,Mold Pokémon,230,0.6,20,5,bug,rock,20.5,2,0,"['Sturdy', 'Gluttony', 'Contrary']"
214,Heracross,185,Singlehorn Pokémon,115,1.5,80,75,bug,fighting,54.0,2,0,"['Swarm', 'Guts', 'Moxie']"
215,Sneasel,95,Sharp Claw Pokémon,55,0.9,55,115,dark,ice,28.0,2,0,"['Inner Focus', 'Keen Eye', 'Pickpocket']"
216,Teddiursa,80,Little Bear Pokémon,50,0.6,60,40,normal,,8.8,2,0,"['Pickup', 'Quick Feet', 'Honey Gather']"
217,Ursaring,130,Hibernator Pokémon,75,1.8,90,55,normal,,125.8,2,0,"['Guts', 'Quick Feet', 'Unnerve']"
218,Slugma,40,Lava Pokémon,40,0.7,40,20,fire,,35.0,2,0,"['Magma Armor', 'Flame Body', 'Weak Armor']"
219,Magcargo,50,Lava Pokémon,120,0.8,60,30,fire,rock,55.0,2,0,"['Magma Armor', 'Flame Body', 'Weak Armor']"
220,Swinub,50,Pig Pokémon,40,0.4,50,50,ice,ground,6.5,2,0,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
221,Piloswine,100,Swine Pokémon,80,1.1,100,50,ice,ground,55.8,2,0,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
222,Corsola,55,Coral Pokémon,95,0.6,65,35,water,rock,5.0,2,0,"['Hustle', 'Natural Cure', 'Regenerator']"
223,Remoraid,65,Jet Pokémon,35,0.6,35,65,water,,12.0,2,0,"['Hustle', 'Sniper', 'Moody']"
224,Octillery,105,Jet Pokémon,75,0.9,75,45,water,,28.5,2,0,"['Suction Cups', 'Sniper', 'Moody']"
225,Delibird,55,Delivery Pokémon,45,0.9,45,75,ice,flying,16.0,2,0,"['Vital Spirit', 'Hustle', 'Insomnia']"
226,Mantine,40,Kite Pokémon,70,2.1,85,70,water,flying,220.0,2,0,"['Swift Swim', 'Water Absorb', 'Water Veil']"
227,Skarmory,80,Armor Bird Pokémon,140,1.7,65,70,steel,flying,50.5,2,0,"['Keen Eye', 'Sturdy', 'Weak Armor']"
228,Houndour,60,Dark Pokémon,30,0.6,45,65,dark,fire,10.8,2,0,"['Early Bird', 'Flash Fire', 'Unnerve']"
229,Houndoom,90,Dark Pokémon,90,1.4,75,115,dark,fire,35.0,2,0,"['Early Bird', 'Flash Fire', 'Unnerve']"
230,Kingdra,95,Dragon Pokémon,95,1.8,75,85,water,dragon,152.0,2,0,"['Swift Swim', 'Sniper', 'Damp']"
231,Phanpy,60,Long Nose Pokémon,60,0.5,90,40,ground,,33.5,2,0,"['Pickup', 'Sand Veil']"
232,Donphan,120,Armor Pokémon,120,1.1,90,50,ground,,120.0,2,0,"['Sturdy', 'Sand Veil']"
233,Porygon2,80,Virtual Pokémon,90,0.6,85,60,normal,,32.5,2,0,"['Trace', 'Download', 'Analytic']"
234,Stantler,95,Big Horn Pokémon,62,1.4,73,85,normal,,71.2,2,0,"['Intimidate', 'Frisk', 'Sap Sipper']"
235,Smeargle,20,Painter Pokémon,35,1.2,55,75,normal,,58.0,2,0,"['Own Tempo', 'Technician', 'Moody']"
236,Tyrogue,35,Scuffle Pokémon,35,0.7,35,35,fighting,,21.0,2,0,"['Guts', 'Steadfast', 'Vital Spirit']"
237,Hitmontop,95,Handstand Pokémon,95,1.4,50,70,fighting,,48.0,2,0,"['Intimidate', 'Technician', 'Steadfast']"
238,Smoochum,30,Kiss Pokémon,15,0.4,45,65,ice,psychic,6.0,2,0,"['Oblivious', 'Forewarn', 'Hydration']"
239,Elekid,63,Electric Pokémon,37,0.6,45,95,electric,,23.5,2,0,"['Static', 'Vital Spirit']"
240,Magby,75,Live Coal Pokémon,37,0.7,45,83,fire,,21.4,2,0,"['Flame Body', 'Vital Spirit']"
241,Miltank,80,Milk Cow Pokémon,105,1.2,95,100,normal,,75.5,2,0,"['Thick Fat', 'Scrappy', 'Sap Sipper']"
242,Blissey,10,Happiness Pokémon,10,1.5,255,55,normal,,46.8,2,0,"['Natural Cure', 'Serene Grace', 'Healer']"
243,Raikou,85,Thunder Pokémon,75,1.9,90,115,electric,,178.0,2,1,"['Pressure', 'Inner Focus']"
244,Entei,115,Volcano Pokémon,85,2.1,115,100,fire,,198.0,2,1,"['Pressure', 'Inner Focus']"
245,Suicune,75,Aurora Pokémon,115,2.0,100,85,water,,187.0,2,1,"['Pressure', 'Inner Focus']"
246,Larvitar,64,Rock Skin Pokémon,50,0.6,50,41,rock,ground,72.0,2,0,"['Guts', 'Sand Veil']"
247,Pupitar,84,Hard Shell Pokémon,70,1.2,70,51,rock,ground,152.0,2,0,['Shed Skin']
248,Tyranitar,164,Armor Pokémon,150,2.0,100,71,rock,dark,202.0,2,0,"['Sand Stream', 'Unnerve']"
249,Lugia,90,Diving Pokémon,130,5.2,106,110,psychic,flying,216.0,2,1,"['Pressure', 'Multiscale']"
250,Ho-Oh,130,Rainbow Pokémon,90,3.8,106,90,fire,flying,199.0,2,1,"['Pressure', 'Regenerator']"
251,Celebi,100,Time Travel Pokémon,100,0.6,100,100,psychic,grass,5.0,2,1,['Natural Cure']
252,Treecko,45,Wood Gecko Pokémon,35,0.5,40,70,grass,,5.0,3,0,"['Overgrow', 'Unburden']"
253,Grovyle,65,Wood Gecko Pokémon,45,0.9,50,95,grass,,21.6,3,0,"['Overgrow', 'Unburden']"
254,Sceptile,110,Forest Pokémon,75,1.7,70,145,grass,,52.2,3,0,"['Overgrow', 'Unburden']"
255,Torchic,60,Chick Pokémon,40,0.4,45,45,fire,,2.5,3,0,"['Blaze', 'Speed Boost']"
256,Combusken,85,Young Fowl Pokémon,60,0.9,60,55,fire,fighting,19.5,3,0,"['Blaze', 'Speed Boost']"
257,Blaziken,160,Blaze Pokémon,80,1.9,80,100,fire,fighting,52.0,3,0,"['Blaze', 'Speed Boost']"
258,Mudkip,70,Mud Fish Pokémon,50,0.4,50,40,water,,7.6,3,0,"['Torrent', 'Damp']"
259,Marshtomp,85,Mud Fish Pokémon,70,0.7,70,50,water,ground,28.0,3,0,"['Torrent', 'Damp']"
260,Swampert,150,Mud Fish Pokémon,110,1.5,100,70,water,ground,81.9,3,0,"['Torrent', 'Damp']"
261,Poochyena,55,Bite Pokémon,35,0.5,35,35,dark,,13.6,3,0,"['Run Away', 'Quick Feet', 'Rattled']"
262,Mightyena,90,Bite Pokémon,70,1.0,70,70,dark,,37.0,3,0,"['Intimidate', 'Quick Feet', 'Moxie']"
263,Zigzagoon,30,Tiny Racoon Pokémon,41,0.4,38,60,normal,,17.5,3,0,"['Pickup', 'Gluttony', 'Quick Feet']"
264,Linoone,70,Rush Pokémon,61,0.5,78,100,normal,,32.5,3,0,"['Pickup', 'Gluttony', 'Quick Feet']"
265,Wurmple,45,Worm Pokémon,35,0.3,45,20,bug,,3.6,3,0,"['Shield Dust', 'Run Away']"
266,Silcoon,35,Cocoon Pokémon,55,0.6,50,15,bug,,10.0,3,0,['Shed Skin']
267,Beautifly,70,Butterfly Pokémon,50,1.0,60,65,bug,flying,28.4,3,0,"['Swarm', 'Rivalry']"
268,Cascoon,35,Cocoon Pokémon,55,0.7,50,15,bug,,11.5,3,0,['Shed Skin']
269,Dustox,50,Poison Moth Pokémon,70,1.2,60,65,bug,poison,31.6,3,0,"['Shield Dust', 'Compoundeyes']"
270,Lotad,30,Water Weed Pokémon,30,0.5,40,30,water,grass,2.6,3,0,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
271,Lombre,50,Jolly Pokémon,50,1.2,60,50,water,grass,32.5,3,0,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
272,Ludicolo,70,Carefree Pokémon,70,1.5,80,70,water,grass,55.0,3,0,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
273,Seedot,40,Acorn Pokémon,50,0.5,40,30,grass,,4.0,3,0,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
274,Nuzleaf,70,Wily Pokémon,40,1.0,70,60,grass,dark,28.0,3,0,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
275,Shiftry,100,Wickid Pokémon,60,1.3,90,80,grass,dark,59.6,3,0,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
276,Taillow,55,TinySwallow Pokémon,30,0.3,40,85,normal,flying,2.3,3,0,"['Guts', 'Scrappy']"
277,Swellow,85,Swallow Pokémon,60,0.7,60,125,normal,flying,19.8,3,0,"['Guts', 'Scrappy']"
278,Wingull,30,Seagull Pokémon,30,0.6,40,85,water,flying,9.5,3,0,"['Keen Eye', 'Hydration', 'Rain Dish']"
279,Pelipper,50,Water Bird Pokémon,100,1.2,60,65,water,flying,28.0,3,0,"['Keen Eye', 'Drizzle', 'Rain Dish']"
280,Ralts,25,Feeling Pokémon,25,0.4,28,40,psychic,fairy,6.6,3,0,"['Synchronize', 'Trace', 'Telepathy']"
281,Kirlia,35,Emotion Pokémon,35,0.8,38,50,psychic,fairy,20.2,3,0,"['Synchronize', 'Trace', 'Telepathy']"
282,Gardevoir,85,Embrace Pokémon,65,1.6,68,100,psychic,fairy,48.4,3,0,"['Synchronize', 'Trace', 'Telepathy']"
283,Surskit,30,Pond Skater Pokémon,32,0.5,40,65,bug,water,1.7,3,0,"['Swift Swim', 'Rain Dish']"
284,Masquerain,60,Eyeball Pokémon,62,0.8,70,80,bug,flying,3.6,3,0,"['Intimidate', 'Unnerve']"
285,Shroomish,40,Mushroom Pokémon,60,0.4,60,35,grass,,4.5,3,0,"['Effect Spore', 'Poison Heal', 'Quick Feet']"
286,Breloom,130,Mushroom Pokémon,80,1.2,60,70,grass,fighting,39.2,3,0,"['Effect Spore', 'Poison Heal', 'Technician']"
287,Slakoth,60,Slacker Pokémon,60,0.8,60,30,normal,,24.0,3,0,['Truant']
288,Vigoroth,80,Wild Monkey Pokémon,80,1.4,80,90,normal,,46.5,3,0,['Vital Spirit']
289,Slaking,160,Lazy Pokémon,100,2.0,150,100,normal,,130.5,3,0,['Truant']
290,Nincada,45,Trainee Pokémon,90,0.5,31,40,bug,ground,5.5,3,0,"['Compoundeyes', 'Run Away']"
291,Ninjask,90,Ninja Pokémon,45,0.8,61,160,bug,flying,12.0,3,0,"['Speed Boost', 'Infiltrator']"
292,Shedinja,90,Shed Pokémon,45,0.8,1,40,bug,ghost,1.2,3,0,['Wonder Guard']
293,Whismur,51,Whisper Pokémon,23,0.6,64,28,normal,,16.3,3,0,"['Soundproof', 'Rattled']"
294,Loudred,71,Big Voice Pokémon,43,1.0,84,48,normal,,40.5,3,0,"['Soundproof', 'Scrappy']"
295,Exploud,91,Loud Noise Pokémon,63,1.5,104,68,normal,,84.0,3,0,"['Soundproof', 'Scrappy']"
296,Makuhita,60,Guts Pokémon,30,1.0,72,25,fighting,,86.4,3,0,"['Thick Fat', 'Guts', 'Sheer Force']"
297,Hariyama,120,Arm Thrust Pokémon,60,2.3,144,50,fighting,,253.8,3,0,"['Thick Fat', 'Guts', 'Sheer Force']"
298,Azurill,20,Polka Dot Pokémon,40,0.2,50,20,normal,fairy,2.0,3,0,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
299,Nosepass,45,Compass Pokémon,135,1.0,30,30,rock,,97.0,3,0,"['Sturdy', 'Magnet Pull', 'Sand Force']"
300,Skitty,45,Kitten Pokémon,45,0.6,50,50,normal,,11.0,3,0,"['Cute Charm', 'Normalize', 'Wonder Skin ']"
301,Delcatty,65,Prim Pokémon,65,1.1,70,90,normal,,32.6,3,0,"['Cute Charm', 'Normalize', 'Wonder Skin ']"
302,Sableye,85,Darkness Pokémon,125,0.5,50,20,dark,ghost,11.0,3,0,"['Keen Eye', 'Stall', 'Prankster']"
303,Mawile,105,Deceiver Pokémon,125,0.6,50,50,steel,fairy,11.5,3,0,"['Hyper Cutter', 'Intimidate', 'Sheer Force']"
304,Aron,70,Iron Armor Pokémon,100,0.4,50,30,steel,rock,60.0,3,0,"['Sturdy', 'Rock Head', 'Heavy Metal']"
305,Lairon,90,Iron Armor Pokémon,140,0.9,60,40,steel,rock,120.0,3,0,"['Sturdy', 'Rock Head', 'Heavy Metal']"
306,Aggron,140,Iron Armor Pokémon,230,2.1,70,50,steel,rock,360.0,3,0,"['Sturdy', 'Rock Head', 'Heavy Metal']"
307,Meditite,40,Meditate Pokémon,55,0.6,30,60,fighting,psychic,11.2,3,0,"['Pure Power', 'Telepathy']"
308,Medicham,100,Meditate Pokémon,85,1.3,60,100,fighting,psychic,31.5,3,0,"['Pure Power', 'Telepathy']"
309,Electrike,45,Lightning Pokémon,40,0.6,40,65,electric,,15.2,3,0,"['Static', 'Lightningrod', 'Minus']"
310,Manectric,75,Discharge Pokémon,80,1.5,70,135,electric,,40.2,3,0,"['Static', 'Lightningrod', 'Minus']"
311,Plusle,50,Cheering Pokémon,40,0.4,60,95,electric,,4.2,3,0,"['Plus', 'Lightningrod']"
312,Minun,40,Cheering Pokémon,50,0.4,60,95,electric,,4.2,3,0,"['Minus', 'Volt Absorb']"
313,Volbeat,73,Firefly Pokémon,75,0.7,65,85,bug,,17.7,3,0,"['Illuminate', 'Swarm', 'Prankster']"
314,Illumise,47,Firefly Pokémon,75,0.6,65,85,bug,,17.7,3,0,"['Oblivious', 'Tinted Lens', 'Prankster']"
315,Roselia,60,Thorn Pokémon,45,0.3,50,65,grass,poison,2.0,3,0,"['Natural Cure', 'Poison Point', 'Leaf Guard']"
316,Gulpin,43,Stomach Pokémon,53,0.4,70,40,poison,,10.3,3,0,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']"
317,Swalot,73,Poison Bag Pokémon,83,1.7,100,55,poison,,80.0,3,0,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']"
318,Carvanha,90,Savage Pokémon,20,0.8,45,65,water,dark,20.8,3,0,"['Rough Skin', 'Speed Boost']"
319,Sharpedo,140,Brutal Pokémon,70,1.8,70,105,water,dark,88.8,3,0,"['Rough Skin', 'Speed Boost']"
320,Wailmer,70,Ball Whale Pokémon,35,2.0,130,60,water,,130.0,3,0,"['Water Veil', 'Oblivious', 'Pressure']"
321,Wailord,90,Float Whale Pokémon,45,14.5,170,60,water,,398.0,3,0,"['Water Veil', 'Oblivious', 'Pressure']"
322,Numel,60,Numb Pokémon,40,0.7,60,35,fire,ground,24.0,3,0,"['Oblivious', 'Simple', 'Own Tempo']"
323,Camerupt,120,Eruption Pokémon,100,1.9,70,20,fire,ground,220.0,3,0,"['Magma Armor', 'Solid Rock', 'Anger Point']"
324,Torkoal,85,Coal Pokémon,140,0.5,70,20,fire,,80.4,3,0,"['White Smoke', 'Drought', 'Shell Armor']"
325,Spoink,25,Bounce Pokémon,35,0.7,60,60,psychic,,30.6,3,0,"['Thick Fat', 'Own Tempo', 'Gluttony']"
326,Grumpig,45,Manipulate Pokémon,65,0.9,80,80,psychic,,71.5,3,0,"['Thick Fat', 'Own Tempo', 'Gluttony']"
327,Spinda,60,Spot Panda Pokémon,60,1.1,60,60,normal,,5.0,3,0,"['Own Tempo', 'Tangled Feet', 'Contrary']"
328,Trapinch,100,Ant Pit Pokémon,45,0.7,45,10,ground,,15.0,3,0,"['Hyper Cutter', 'Arena Trap', 'Sheer Force']"
329,Vibrava,70,Vibration Pokémon,50,1.1,50,70,ground,dragon,15.3,3,0,['Levitate']
330,Flygon,100,Mystic Pokémon,80,2.0,80,100,ground,dragon,82.0,3,0,['Levitate']
331,Cacnea,85,Cactus Pokémon,40,0.4,50,35,grass,,51.3,3,0,"['Sand Veil', 'Water Absorb']"
332,Cacturne,115,Scarecrow Pokémon,60,1.3,70,55,grass,dark,77.4,3,0,"['Sand Veil', 'Water Absorb']"
333,Swablu,40,Cotton Bird Pokémon,60,0.4,45,50,normal,flying,1.2,3,0,"['Natural Cure', 'Cloud Nine']"
334,Altaria,110,Humming Pokémon,110,1.1,75,80,dragon,flying,20.6,3,0,"['Natural Cure', 'Cloud Nine']"
335,Zangoose,115,Cat Ferret Pokémon,60,1.3,73,90,normal,,40.3,3,0,"['Immunity', 'Toxic Boost']"
336,Seviper,100,Fang Snake Pokémon,60,2.7,73,65,poison,,52.5,3,0,"['Shed Skin', 'Infiltrator']"
337,Lunatone,55,Meteorite Pokémon,65,1.0,90,70,rock,psychic,168.0,3,0,['Levitate']
338,Solrock,95,Meteorite Pokémon,85,1.2,90,70,rock,psychic,154.0,3,0,['Levitate']
339,Barboach,48,Whiskers Pokémon,43,0.4,50,60,water,ground,1.9,3,0,"['Oblivious', 'Anticipation', 'Hydration']"
340,Whiscash,78,Whiskers Pokémon,73,0.9,110,60,water,ground,23.6,3,0,"['Oblivious', 'Anticipation', 'Hydration']"
341,Corphish,80,Ruffian Pokémon,65,0.6,43,35,water,,11.5,3,0,"['Hyper Cutter', 'Shell Armor', 'Adaptability']"
342,Crawdaunt,120,Rogue Pokémon,85,1.1,63,55,water,dark,32.8,3,0,"['Hyper Cutter', 'Shell Armor', 'Adaptability']"
343,Baltoy,40,Clay Doll Pokémon,55,0.5,40,55,ground,psychic,21.5,3,0,['Levitate']
344,Claydol,70,Clay Doll Pokémon,105,1.5,60,75,ground,psychic,108.0,3,0,['Levitate']
345,Lileep,41,Sea Lily Pokémon,77,1.0,66,23,rock,grass,23.8,3,0,"['Suction Cups', 'Storm Drain']"
346,Cradily,81,Barnacle Pokémon,97,1.5,86,43,rock,grass,60.4,3,0,"['Suction Cups', 'Storm Drain']"
347,Anorith,95,Old Shrimp Pokémon,50,0.7,45,75,rock,bug,12.5,3,0,"['Battle Armor', 'Swift Swim']"
348,Armaldo,125,Plate Pokémon,100,1.5,75,45,rock,bug,68.2,3,0,"['Battle Armor', 'Swift Swim']"
349,Feebas,15,Fish Pokémon,20,0.6,20,80,water,,7.4,3,0,"['Swift Swim', 'Oblivious', 'Adaptability']"
350,Milotic,60,Tender Pokémon,79,6.2,95,81,water,,162.0,3,0,"['Marvel Scale', 'Competitive', 'Cute Charm']"
351,Castform,70,Weather Pokémon,70,0.3,70,70,normal,,0.8,3,0,['Forecast']
352,Kecleon,90,Color Swap Pokémon,70,1.0,60,40,normal,,22.0,3,0,"['Color Change', 'Protean']"
353,Shuppet,75,Puppet Pokémon,35,0.6,44,45,ghost,,2.3,3,0,"['Insomnia', 'Frisk', 'Cursed Body']"
354,Banette,165,Marionette Pokémon,75,1.1,64,75,ghost,,12.5,3,0,"['Insomnia', 'Frisk', 'Cursed Body']"
355,Duskull,40,Requiem Pokémon,90,0.8,20,25,ghost,,15.0,3,0,"['Levitate', 'Frisk']"
356,Dusclops,70,Beckon Pokémon,130,1.6,40,25,ghost,,30.6,3,0,"['Pressure', 'Frisk']"
357,Tropius,68,Fruit Pokémon,83,2.0,99,51,grass,flying,100.0,3,0,"['Chlorophyll', 'Solar Power', 'Harvest']"
358,Chimecho,50,Wind Chime Pokémon,80,0.6,75,65,psychic,,1.0,3,0,['Levitate']
359,Absol,150,Disaster Pokémon,60,1.2,65,115,dark,,47.0,3,0,"['Pressure', 'Super Luck', 'Justified']"
360,Wynaut,23,Bright Pokémon,48,0.6,95,23,psychic,,14.0,3,0,"['Shadow Tag', 'Telepathy']"
361,Snorunt,50,Snow Hat Pokémon,50,0.7,50,50,ice,,16.8,3,0,"['Inner Focus', 'Ice Body', 'Moody']"
362,Glalie,120,Face Pokémon,80,1.5,80,100,ice,,256.5,3,0,"['Inner Focus', 'Ice Body', 'Moody']"
363,Spheal,40,Clap Pokémon,50,0.8,70,25,ice,water,39.5,3,0,"['Thick Fat', 'Ice Body', 'Oblivious']"
364,Sealeo,60,Ball Roll Pokémon,70,1.1,90,45,ice,water,87.6,3,0,"['Thick Fat', 'Ice Body', 'Oblivious']"
365,Walrein,80,Ice Break Pokémon,90,1.4,110,65,ice,water,150.6,3,0,"['Thick Fat', 'Ice Body', 'Oblivious']"
366,Clamperl,64,Bivalve Pokémon,85,0.4,35,32,water,,52.5,3,0,"['Shell Armor', 'Rattled']"
367,Huntail,104,Deep Sea Pokémon,105,1.7,55,52,water,,27.0,3,0,"['Swift Swim', 'Water Veil']"
368,Gorebyss,84,South Sea Pokémon,105,1.8,55,52,water,,22.6,3,0,"['Swift Swim', 'Hydration']"
369,Relicanth,90,Longevity Pokémon,130,1.0,100,55,water,rock,23.4,3,0,"['Swift Swim', 'Rock Head', 'Sturdy']"
370,Luvdisc,30,Rendezvous Pokémon,55,0.6,43,97,water,,8.7,3,0,"['Swift Swim', 'Hydration']"
371,Bagon,75,Rock Head Pokémon,60,0.6,45,50,dragon,,42.1,3,0,"['Rock Head', 'Sheer Force']"
372,Shelgon,95,Endurance Pokémon,100,1.1,65,50,dragon,,110.5,3,0,"['Rock Head', 'Overcoat']"
373,Salamence,145,Dragon Pokémon,130,1.5,95,120,dragon,flying,102.6,3,0,"['Intimidate', 'Moxie']"
374,Beldum,55,Iron Ball Pokémon,80,0.6,40,30,steel,psychic,95.2,3,0,"['Clear Body', 'Light Metal']"
375,Metang,75,Iron Claw Pokémon,100,1.2,60,50,steel,psychic,202.5,3,0,"['Clear Body', 'Light Metal']"
376,Metagross,145,Iron Leg Pokémon,150,1.6,80,110,steel,psychic,550.0,3,0,"['Clear Body', 'Light Metal']"
377,Regirock,100,Rock Peak Pokémon,200,1.7,80,50,rock,,230.0,3,1,"['Clear Body', 'Sturdy']"
378,Regice,50,Iceberg Pokémon,100,1.8,80,50,ice,,175.0,3,1,"['Clear Body', 'Ice Body']"
379,Registeel,75,Iron Pokémon,150,1.9,80,50,steel,,205.0,3,1,"['Clear Body', 'Light Metal']"
380,Latias,100,Eon Pokémon,120,1.4,80,110,dragon,psychic,40.0,3,1,['Levitate']
381,Latios,130,Eon Pokémon,100,2.0,80,110,dragon,psychic,60.0,3,1,['Levitate']
382,Kyogre,150,Sea Basin Pokémon,90,4.5,100,90,water,,352.0,3,1,['Drizzle']
383,Groudon,180,Continent Pokémon,160,3.5,100,90,ground,,950.0,3,1,['Drought']
384,Rayquaza,180,Sky High Pokémon,100,7.0,105,115,dragon,flying,206.5,3,1,['Air Lock']
385,Jirachi,100,Wish Pokémon,100,0.3,100,100,steel,psychic,1.1,3,1,['Serene Grace']
386,Deoxys,95,DNA Pokémon,90,1.7,50,180,psychic,,60.8,3,1,['Pressure']
387,Turtwig,68,Tiny Leaf Pokémon,64,0.4,55,31,grass,,10.2,4,0,"['Overgrow', 'Shell Armor']"
388,Grotle,89,Grove Pokémon,85,1.1,75,36,grass,,97.0,4,0,"['Overgrow', 'Shell Armor']"
389,Torterra,109,Continent Pokémon,105,2.2,95,56,grass,ground,310.0,4,0,"['Overgrow', 'Shell Armor']"
390,Chimchar,58,Chimp Pokémon,44,0.5,44,61,fire,,6.2,4,0,"['Blaze', 'Iron Fist']"
391,Monferno,78,Playful Pokémon,52,0.9,64,81,fire,fighting,22.0,4,0,"['Blaze', 'Iron Fist']"
392,Infernape,104,Flame Pokémon,71,1.2,76,108,fire,fighting,55.0,4,0,"['Blaze', 'Iron Fist']"
393,Piplup,51,Penguin Pokémon,53,0.4,53,40,water,,5.2,4,0,"['Torrent', 'Defiant']"
394,Prinplup,66,Penguin Pokémon,68,0.8,64,50,water,,23.0,4,0,"['Torrent', 'Defiant']"
395,Empoleon,86,Emperor Pokémon,88,1.7,84,60,water,steel,84.5,4,0,"['Torrent', 'Defiant']"
396,Starly,55,Starling Pokémon,30,0.3,40,60,normal,flying,2.0,4,0,"['Keen Eye', 'Reckless']"
397,Staravia,75,Starling Pokémon,50,0.6,55,80,normal,flying,15.5,4,0,"['Intimidate', 'Reckless']"
398,Staraptor,120,Predator Pokémon,70,1.2,85,100,normal,flying,24.9,4,0,"['Intimidate', 'Reckless']"
399,Bidoof,45,Plump Mouse Pokémon,40,0.5,59,31,normal,,20.0,4,0,"['Simple', 'Unaware', 'Moody']"
400,Bibarel,85,Beaver Pokémon,60,1.0,79,71,normal,water,31.5,4,0,"['Simple', 'Unaware', 'Moody']"
401,Kricketot,25,Cricket Pokémon,41,0.3,37,25,bug,,2.2,4,0,"['Shed Skin', 'Run Away']"
402,Kricketune,85,Cricket Pokémon,51,1.0,77,65,bug,,25.5,4,0,"['Swarm', 'Technician']"
403,Shinx,65,Flash Pokémon,34,0.5,45,45,electric,,9.5,4,0,"['Rivalry', 'Intimidate', 'Guts']"
404,Luxio,85,Spark Pokémon,49,0.9,60,60,electric,,30.5,4,0,"['Rivalry', 'Intimidate', 'Guts']"
405,Luxray,120,Gleam Eyes Pokémon,79,1.4,80,70,electric,,42.0,4,0,"['Rivalry', 'Intimidate', 'Guts']"
406,Budew,30,Bud Pokémon,35,0.2,40,55,grass,poison,1.2,4,0,"['Natural Cure', 'Poison Point', 'Leaf Guard']"
407,Roserade,70,Bouquet Pokémon,65,0.9,60,90,grass,poison,14.5,4,0,"['Natural Cure', 'Poison Point', 'Technician']"
408,Cranidos,125,Head Butt Pokémon,40,0.9,67,58,rock,,31.5,4,0,"['Mold Breaker', 'Sheer Force']"
409,Rampardos,165,Head Butt Pokémon,60,1.6,97,58,rock,,102.5,4,0,"['Mold Breaker', 'Sheer Force']"
410,Shieldon,42,Shield Pokémon,118,0.5,30,30,rock,steel,57.0,4,0,"['Sturdy', 'Soundproof']"
411,Bastiodon,52,Shield Pokémon,168,1.3,60,30,rock,steel,149.5,4,0,"['Sturdy', 'Soundproof']"
412,Burmy,29,Bagworm Pokémon,45,0.2,40,36,bug,,3.4,4,0,"['Shed Skin', 'Overcoat']"
413,Wormadam,69,Bagworm Pokémon,95,0.5,60,36,bug,grass,6.5,4,0,"['Anticipation', 'Overcoat']"
414,Mothim,94,Moth Pokémon,50,0.9,70,66,bug,flying,23.3,4,0,"['Swarm', 'Tinted Lens']"
415,Combee,30,Tiny Bee Pokémon,42,0.3,30,70,bug,flying,5.5,4,0,"['Honey Gather', 'Hustle']"
416,Vespiquen,80,Beehive Pokémon,102,1.2,70,40,bug,flying,38.5,4,0,"['Pressure', 'Unnerve']"
417,Pachirisu,45,EleSquirrel Pokémon,70,0.4,60,95,electric,,3.9,4,0,"['Run Away', 'Pickup', 'Volt Absorb']"
418,Buizel,65,Sea Weasel Pokémon,35,0.7,55,85,water,,29.5,4,0,"['Swift Swim', 'Water Veil']"
419,Floatzel,105,Sea Weasel Pokémon,55,1.1,85,115,water,,33.5,4,0,"['Swift Swim', 'Water Veil']"
420,Cherubi,35,Cherry Pokémon,45,0.4,45,35,grass,,3.3,4,0,['Chlorophyll']
421,Cherrim,60,Blossom Pokémon,70,0.5,70,85,grass,,9.3,4,0,['Flower Gift']
422,Shellos,48,Sea Slug Pokémon,48,0.3,76,34,water,,6.3,4,0,"['Sticky Hold', 'Storm Drain', 'Sand Force']"
